121,69
150,62
123,62
97,59
30,57
146,55
69,55
153,54
52,54
169,53
67,53
22,53
71,52
42,52
38,52
200,51
126,51
88,51
74,51
40,51
20,51
96,50
89,50
57,50
43,50
157,49
105,49
15,49
197,48
192,48
159,48
76,48
68,48
36,48
149,47
112,47
61,47
44,47
25,47
1,47
178,46
140,46
120,46
64,46
101,45
160,44
132,44
130,44
119,44
98,44
85,44
65,44
53,44
147,43
141,43
125,43
110,43
83,43
199,42
188,42
162,42
127,42
59,42
39,42
26,42
165,41
16,41
174,40
108,40
9,40
158,39
87,39
79,39
62,39
182,38
175,38
47,38
46,38
27,38
17,38
14,38
190,37
172,37
95,37
93,37
77,37
18,37
196,36
195,36
186,36
181,36
180,36
168,36
35,36
28,36
11,36
114,35
111,35
82,35
63,35
51,35
50,35
45,35
5,35
4,35
173,34
106,34
100,34
75,34
194,33
156,33
143,33
73,33
103,32
56,32
7,32
176,31
154,31
113,31
72,31
49,31
29,31
10,31
161,30
137,30
129,30
128,30
118,30
117,30
116,30
102,30
33,30
19,30
2,30
177,29
163,29
138,29
37,29
193,28
187,28
183,28
171,28
144,28
142,28
104,28
92,28
91,28
86,28
84,28
81,28
60,28
55,28
48,28
8,28
133,27
124,27
94,27
80,27
24,27
13,27
6,27
191,26
166,26
164,26
145,26
78,26
179,25
155,25
107,25
66,25
54,25
31,25
12,25
135,24
131,24
90,23
58,23
41,23
3,23
198,22
185,22
151,22
134,22
109,22
32,22
23,22
34,21
99,20
21,20
167,19
139,18
170,17
115,17
136,16
122,16
148,15
152,14
189,12
184,8
70,5
