6,6
1,9
48,1
102,10
200,9
98,9
18,3
174,5
43,6
29,2
12,8
24,9
117,2
159,8
22,7
41,5
112,7
36,8
44,9
126,8
91,1
170,2
66,2
67,5
62,4
137,7
11,8
150,10
131,7
68,2
35,5
5,2
93,2
192,7
123,6
196,9
101,8
28,7
46,5
75,4
84,1
82,3
76,5
135,1
195,8
178,10
146,9
96,9
13,5
154,1
191,1
133,2
20,10
198,4
38,8
9,9
4,1
72,1
50,10
80,7
42,5
124,5
116,7
130,6
171,6
103,1
114,2
32,3
106,5
69,8
163,1
97,10
74,10
186,9
181,4
89,10
81,8
10,3
152,2
88,10
160,10
30,4
167,1
158,1
165,5
56,4
54,3
64,4
168,6
193,4
105,9
164,2
113,1
151,6
21,1
14,10
179,8
85,8
136,2
108,4
27,7
166,2
39,10
189,2
71,8
33,4
184,3
183,7
119,5
34,5
52,1
53,1
118,2
87,8
23,2
73,1
63,4
100,8
149,7
138,5
104,9
128,5
110,9
199,2
121,3
111,2
49,2
161,9
90,6
187,4
65,8
120,7
153,7
132,5
156,3
140,7
15,8
188,9
141,6
47,2
177,4
127,10
162,5
94,6
169,6
86,4
79,7
92,10
37,6
60,10
83,9
144,7
8,1
173,7
176,6
57,6
122,2
59,7
194,5
26,6
197,3
175,6
190,8
157,4
