104,9
24,2
67,9
1,10
122,7
79,8
183,4
196,6
195,1
193,3
125,8
12,4
189,4
153,7
200,7
56,10
15,5
135,4
86,2
161,3
121,9
134,5
173,6
65,8
75,10
164,3
115,3
114,10
68,6
6,4
78,6
113,5
133,6
137,5
174,8
194,9
42,9
8,5
77,4
76,6
160,8
48,5
50,1
59,2
110,8
142,4
99,1
31,9
72,5
5,7
144,10
51,6
180,10
73,9
191,4
10,7
34,1
16,7
7,5
118,8
62,10
126,4
49,8
81,6
29,2
150,5
26,4
109,1
172,9
106,10
100,10
158,6
148,7
55,4
116,6
40,9
163,3
157,3
178,4
103,1
176,3
119,5
88,10
140,10
192,9
2,1
63,2
171,7
45,10
184,3
61,4
188,8
141,9
36,3
170,1
96,8
175,6
80,2
187,2
102,6
124,7
91,1
156,1
57,9
3,6
60,1
58,9
30,4
11,3
66,9
147,10
85,9
4,10
145,1
41,7
154,5
146,5
25,7
177,10
123,10
159,6
39,10
44,3
27,2
71,2
162,5
43,9
64,2
93,6
179,3
92,6
46,4
169,5
197,5
28,1
37,3
107,8
69,8
32,1
18,1
87,8
185,1
13,3
166,6
108,6
129,3
130,8
97,6
54,6
181,9
89,4
9,7
19,3
139,7
17,7
22,7
190,7
38,7
198,2
98,4
152,4
35,7
94,1
136,4
138,2
186,9
74,4
101,8
83,6
105,2
117,6
182,10
165,10
120,10
168,1
84,5
33,9
52,8
112,8
47,7
