1,1,2,2024-12-23 12:30:00,9,TITULAR
2,1,2,2024-12-23 12:30:00,2,TITULAR
3,1,2,2024-12-23 12:30:00,0,REZERVA
6,2,1,2024-12-23 12:30:00,8,TITULAR
7,2,1,2024-12-23 12:30:00,5,TITULAR
8,2,1,2024-12-23 12:30:00,18,TITULAR
9,2,1,2024-12-23 12:30:00,0,REZERVA
6,2,3,2024-12-25 21:00:00,10,TITULAR
7,2,3,2024-12-25 21:00:00,3,TITULAR
8,2,3,2024-12-25 21:00:00,7,TITULAR
9,2,3,2024-12-25 21:00:00,0,REZERVA
11,3,1,2024-12-27 9:45:00,12,TITULAR
12,3,1,2024-12-27 9:45:00,0,REZERVA
13,3,1,2024-12-27 9:45:00,7,TITULAR
14,3,1,2024-12-27 9:45:00,0,REZERVA
